0,処女,;V属性性攻撃や寄生攻撃を受けた際に処女喪失+MP極大ダメージ

10,臆病,;HPダメージ増加
11,反抗的,;HP攻撃されやすい
12,気丈,;MPダメージ減少1割減少
13,素直,
14,大人しい,
15,プライド高い,;性攻撃によるMPダメージを1割増加
16,生意気,
17,プライド低い,;性攻撃によるMPダメージを1割軽減
18,ツンデレ,

20,自制心,;自慰が発生しづらくなる

27,一線越えない,;各種感覚と自慰中毒のレベル２・３への上昇が遅くなる
28,目立ちたがり,;人間の敵に狙われやすい

40,痛みに弱い,;通常攻撃によるHPダメージが1割増加
41,痛みに強い,;通常攻撃によるHPダメージを1割軽減

60,自慰しやすい,;自慰が発生する条件が緩和される

70,快感に素直,;性ダメージ1割増加/MPダメージ1割減少
71,快感の否定,;性ダメージ1割減少/MPダメージ1割増加
72,中毒しやすい,;自慰中毒が成長しやすい

74,淫乱,
75,尻穴狂い,
76,淫乳,
77,淫核,
78,淫壷,

100,小柄体型,;A系・V系の性攻撃によるMPダメージが2割増加
101,Ａ感度,;対応属性のダメージが 4割軽減・等倍・3割増加・6割増加 になる
102,Ｂ感度,;対応属性のダメージが 4割軽減・等倍・3割増加・6割増加 になる
103,Ｃ感度,;対応属性のダメージが 4割軽減・等倍・3割増加・6割増加 になる
104,Ｖ感度,;対応属性のダメージが 4割軽減・等倍・3割増加・6割増加 になる

109,貧乳,;B系の性攻撃によるダメージが1割増加
110,巨乳,;B系の性攻撃によるダメージを2割軽減

130,母乳体質,; B絶頂時のMPダメージ増加＋一部の技で相手のHP回復
